date,store,category,unit_price,units_sold
2023-11-07,North,Electronics,467.96,1
2023-08-04,East,Toys,23.16,3
2024-12-29,West,Clothing,103.11,2
2024-12-17,West,Home & Garden,48.81,4
2023-04-08,South,Clothing,38.82,3
2024-08-18,West,Clothing,97.03,2
2023-12-23,East,Clothing,67.97,5
2024-02-15,Central,Home & Garden,104.01,3
2023-09-13,South,Electronics,160.87,1
2023-08-26,South,Home & Garden,52.36,5
2024-01-04,North,Toys,15.37,1
2024-01-24,North,Clothing,44.42,4
2023-08-29,south,Clothing,66.06,3
2024-07-31,Central,Home & Garden,201.82,3
2024-02-23,West,Electronics,558.46,2
2023-03-11,South,Groceries,46.28,4
2024-12-23,East,Clothing,89.57,5
2024-11-06,South,Toys,28.16,5
2023-10-10,West,Electronics,446.54,4
2023-12-10,North,Electronics,506.23,5
2024-06-18,North,Toys,32.18,1
2024-11-18,North,Toys,12.33,2
2024-04-01,Central,Clothing,58.74,5
2023-02-06,West,Electronics,821.51,1
2024-01-20,East,Clothing,74.43,1
2024-10-17,Central,Electronics,794.79,3
2023-07-21,Central,Groceries,56.27,5
2023-03-23,East,Groceries,17.87,4
2024-08-30,East,Clothing,16.99,1
2024-11-03,West,Groceries,50.88,3
2023-11-24,North,Electronics,346.09,1
2024-01-30,East,Toys,58.21,1
2023-12-16,East,Home & Garden,160.51,2
2023-02-22,East,Groceries,31.02,4
2024-09-26,west,Groceries,26.17,5
2023-04-10,North,Toys,74.63,4
2024-03-31,West,Home & Garden,115.84,4
2024-10-21,East,Groceries,,5
2023-03-10,South,Groceries,12.94,4
2024-08-10,West,Toys,72.35,4
2024-09-17,East,Toys,11.45,2
2024-02-26,Central,Toys,68.05,5
2024-12-16,North,Toys,51.47,2
2024-07-14,East,Clothing,47.9,3
2023-08-20,South,Groceries,47.55,4
2023-06-20,Central,Home & Garden,154.89,3
2023-08-01,west,Electronics,760.93,5
2023-05-10,South,Electronics,410.07,1
2023-09-07,Central,Clothing,65.0,5
2024-11-25,Central,Clothing,60.36,4
2024-09-21,Central,Home & Garden,101.66,4
2023-05-31,North,Electronics,184.19,2
2024-03-23,East,Home & Garden,184.02,3
2023-11-09,West,Electronics,411.67,3
2023-09-07,Central,Electronics,675.21,5
2024-03-11,East,Groceries,46.74,5
2023-12-01,West,Groceries,5.11,5
2024-05-21,South,Toys,13.47,5
2024-04-22,North,Groceries,9.73,5
2023-02-10,North,Home & Garden,266.67,3
2024-11-29,South,Clothing,81.18,3
2024-06-19,Central,Clothing,28.09,1
2023-02-24,East,Home & Garden,101.04,3
2023-01-09,East,Toys,67.88,2
2023-05-28,North,Clothing,73.98,2
2024-07-24,Central,Clothing,63.51,3
2024-04-12,East,Home & Garden,55.39,3
2024-02-02,South,Clothing,68.37,3
2024-06-25,Central,Groceries,10.03,5
2024-01-15,Central,Electronics,783.98,5
2024-01-14,East,Home & Garden,256.91,3
2023-07-08,west,Toys,69.38,5
2023-10-01,North,Toys,62.31,2
2023-11-01,South,Home & Garden,298.01,1
2023-08-23,west,Home & Garden,85.38,4
2023-12-26,Central,Clothing,55.42,2
2024-11-10,East,Home & Garden,183.57,4
2024-03-12,South,Clothing,84.27,4
2023-12-22,North,Electronics,383.88,5
2024-01-21,West,Clothing,97.29,3
2023-02-11,North,Groceries,50.23,2
2023-09-04,Central,Clothing,61.44,2
2024-10-12,North,Clothing,96.05,5
2024-10-07,East,Clothing,70.09,3
2024-12-29,South,Clothing,79.21,5
2024-07-03,Central,Electronics,851.78,4
2024-10-21,East,Clothing,111.46,4
2024-03-29,East,Groceries,37.46,2
2023-09-04,south,Home & Garden,72.64,2
2024-12-18,west,Home & Garden,35.0,4
2023-04-10,west,Clothing,,1
2023-02-16,Central,Home & Garden,188.89,2
2024-06-14,South,Home & Garden,154.11,2
2024-12-03,South,Groceries,22.78,5
2024-10-19,West,Clothing,18.93,1
2023-10-18,East,Clothing,102.78,3
2024-01-07,East,Toys,35.32,4
2024-06-15,West,Groceries,26.15,1
2024-02-12,South,Home & Garden,224.54,5
2024-05-16,East,Clothing,53.68,5
2024-01-08,Central,Clothing,31.39,2
2023-08-29,North,Groceries,5.05,3
2024-01-14,East,Electronics,709.54,3
2024-03-29,North,Electronics,709.57,4
2023-12-03,North,Home & Garden,179.08,5
2024-05-31,East,Clothing,76.55,1
2024-11-14,Central,Toys,30.79,5
2024-09-19,East,Clothing,112.17,1
2023-04-19,West,Home & Garden,150.86,4
2024-10-04,North,Toys,10.24,4
2023-02-03,North,Groceries,54.62,2
2023-02-10,North,Home & Garden,31.86,2
2024-03-16,North,Home & Garden,198.38,1
2024-01-15,South,Electronics,390.24,5
2024-04-29,Central,Clothing,73.48,1
2024-11-11,West,Groceries,15.03,5
2023-06-19,West,Clothing,71.79,5
2024-06-14,West,Toys,74.73,2
2023-01-16,West,Home & Garden,123.89,4
2023-06-21,Central,Electronics,200.67,3
2024-06-19,North,Electronics,507.72,3
2024-11-18,North,Electronics,212.53,1
2024-07-24,East,Groceries,30.15,5
2023-02-24,North,Clothing,102.83,5
2023-05-18,West,Groceries,36.08,3
2023-09-26,North,Electronics,538.53,2
2023-08-22,West,Groceries,54.43,3
2024-09-19,East,Toys,54.12,3
2024-11-24,Central,Home & Garden,143.02,4
2024-09-27,West,Electronics,702.42,1
2023-05-10,West,Clothing,94.99,1
2024-08-22,South,Electronics,716.75,2
2024-06-20,East,Toys,75.34,1
2023-05-24,South,Electronics,641.7,5
2023-12-26,South,Home & Garden,59.48,1
2023-05-31,South,Groceries,15.37,4
2023-07-20,South,Groceries,27.55,2
2024-11-25,South,Toys,37.74,2
2024-06-19,South,Groceries,43.22,5
2024-05-12,West,Electronics,580.11,2
2024-09-01,Central,Clothing,52.42,4
2024-12-20,West,Clothing,90.93,1
2024-03-12,East,Groceries,10.97,5
2024-12-30,West,Toys,36.4,3
2024-03-31,South,Toys,77.89,1
2024-05-13,Central,Clothing,26.34,1
2024-08-23,Central,Electronics,295.74,3
2023-07-20,Central,Groceries,39.12,5
2023-01-17,West,Home & Garden,171.17,4
2024-09-08,North,Electronics,835.81,3
2023-09-10,North,Clothing,89.63,1
2024-07-31,West,Home & Garden,96.74,1
2024-07-19,East,Electronics,739.95,4
2023-02-27,East,Home & Garden,241.56,4
2023-09-24,North,Groceries,57.16,4
2024-12-09,South,Groceries,40.77,3
2024-07-19,East,Clothing,111.55,4
2023-09-22,South,Toys,25.26,1
2024-01-24,East,Electronics,590.83,1
2024-08-17,North,Toys,16.94,3
2023-09-14,South,Electronics,880.59,3
2023-01-26,West,Home & Garden,167.12,5
2024-04-25,North,Clothing,53.67,5
2023-09-08,central,Groceries,36.67,3
2023-04-18,North,Electronics,773.82,4
2023-08-22,South,Clothing,20.58,5
2024-03-26,West,Electronics,789.25,5
2023-09-03,Central,Toys,59.61,2
2024-01-18,West,Toys,32.12,4
2023-11-29,north,Clothing,34.33,4
2024-04-14,South,Clothing,109.26,2
2023-12-20,West,Groceries,7.84,3
2024-11-09,South,Toys,13.09,3
2023-12-14,West,Clothing,107.53,3
2023-05-07,West,Toys,36.22,5
2024-05-22,South,Electronics,340.63,3
2024-10-06,East,Home & Garden,24.96,5
2024-08-27,East,Clothing,96.36,1
2024-11-18,South,Clothing,35.66,1
2024-02-14,North,Groceries,57.56,1
2024-05-18,South,Toys,59.33,5
2023-11-15,West,Clothing,100.53,5
2024-11-04,South,Electronics,673.91,4
2024-01-20,Central,Groceries,8.4,4
2024-08-14,Central,Groceries,50.27,2
2024-02-13,Central,Clothing,74.13,4
2023-11-08,South,Clothing,41.78,3
2024-10-17,East,Electronics,485.81,4
2024-12-04,North,Clothing,18.68,2
2023-08-06,South,Toys,30.01,4
2023-06-19,South,Electronics,215.5,5
2024-01-21,Central,Clothing,83.02,5
2024-12-14,North,Toys,65.02,2
2023-01-06,East,Clothing,74.75,1
2024-08-09,South,Groceries,27.82,2
2024-04-18,central,Toys,28.85,5
2023-07-27,South,Home & Garden,110.29,4
2023-05-04,South,Electronics,658.4,5
2023-02-21,North,Home & Garden,182.29,4
2024-03-29,South,Toys,78.2,4
2024-10-07,Central,Clothing,28.41,1
2023-11-28,West,Clothing,29.14,4
2024-03-17,East,Groceries,26.53,5
2023-08-21,South,Electronics,840.18,2
2024-06-24,Central,Groceries,41.24,2
2023-09-12,East,Groceries,26.68,1
2023-07-28,West,Electronics,810.76,2
2023-11-04,East,Toys,53.62,5
2024-08-08,west,Toys,28.7,2
2024-05-09,South,Groceries,9.0,5
2023-12-30,south,Clothing,,4
2024-04-13,East,Toys,52.2,4
2023-02-22,North,Home & Garden,54.07,2
2023-09-26,South,Toys,49.76,1
2024-12-07,South,Clothing,70.8,1
2023-08-06,central,Toys,77.36,4
2024-04-13,East,Toys,51.83,1
2023-02-05,South,Clothing,80.94,4
2023-11-03,north,Clothing,61.94,4
2024-12-18,South,Home & Garden,144.41,4
2023-12-20,West,Toys,106.07,5
2024-11-03,Central,Clothing,111.62,2
2024-07-30,west,Toys,16.16,2
2023-03-23,north,Clothing,97.04,1
2023-05-05,West,Groceries,12.06,3
2024-10-10,North,Home & Garden,291.54,1
2024-11-10,Central,Home & Garden,77.58,1
2023-11-19,East,Groceries,51.78,3
2023-10-09,central,Clothing,103.45,2
2023-11-28,West,Electronics,570.96,2
2023-01-28,Central,Toys,52.55,1
2023-11-18,East,Toys,51.65,3
2024-07-13,Central,Electronics,349.64,2
2023-08-01,North,Electronics,271.48,1
2023-03-19,East,Electronics,542.46,2
2023-02-03,South,Electronics,281.42,2
2024-01-03,North,Clothing,40.21,1
2024-08-25,West,Electronics,404.78,3
2024-08-11,East,Toys,,3
2024-10-15,East,Groceries,42.79,3
2023-12-25,North,Groceries,13.3,4
2023-01-09,East,Toys,17.3,1
2023-04-17,east,Clothing,53.85,2
2024-08-13,South,Electronics,254.14,4
2023-10-06,West,Clothing,26.03,1
2024-02-24,North,Clothing,15.45,1
2023-10-13,North,Toys,60.94,5
2023-07-21,Central,Clothing,64.15,4
2023-06-11,East,Home & Garden,103.08,5
2024-04-13,Central,Electronics,449.33,5
2023-04-30,East,Toys,77.55,5
2023-09-14,East,Home & Garden,236.25,2
2024-02-10,North,Groceries,18.1,3
2024-09-02,East,Groceries,51.26,1
2024-08-08,West,Groceries,7.8,4
2023-02-28,North,Toys,56.43,4
2024-06-04,Central,Groceries,27.42,4
2023-04-07,Central,Toys,59.19,5
2023-02-02,South,Clothing,94.91,5
2024-08-12,Central,Electronics,402.16,1
2024-11-23,East,Home & Garden,64.43,1
2023-01-07,Central,Clothing,73.32,5
2023-05-21,North,Toys,12.3,4
2023-05-18,North,Groceries,52.84,5
2023-06-13,North,Toys,67.9,3
2023-07-18,South,Groceries,24.26,1
2024-03-25,North,Clothing,41.97,1
2023-02-05,East,Toys,15.05,4
2024-02-19,East,Electronics,321.73,2
2023-06-02,South,Electronics,314.95,1
2024-09-07,North,Groceries,8.76,4
2024-03-16,North,Home & Garden,167.85,2
2023-09-09,East,Electronics,324.43,4
2024-03-05,Central,Electronics,363.81,3
2024-02-07,East,Clothing,104.14,3
2024-10-10,North,Toys,27.61,5
2024-06-07,East,Home & Garden,74.64,2
2024-07-09,West,Toys,10.02,3
2024-07-06,North,Clothing,51.17,2
2023-12-25,West,Toys,37.42,1
2024-06-22,South,Toys,55.42,5
2023-09-01,Central,Toys,29.73,2
2024-02-05,North,Toys,74.16,1
2023-02-14,Central,Home & Garden,52.58,3
2023-11-10,North,Groceries,20.13,2
2024-12-03,Central,Home & Garden,121.04,2
2024-11-25,Central,Home & Garden,158.61,2
2023-06-08,West,Electronics,894.68,1
2023-01-29,East,Clothing,55.52,3
2024-10-22,north,Electronics,475.79,4
2024-02-29,South,Toys,10.86,2
2023-12-05,Central,Toys,93.43,2
2024-09-30,North,Clothing,47.63,3
2024-12-10,Central,Toys,15.14,1
2023-09-07,North,Toys,16.25,5
2024-01-06,East,Home & Garden,161.15,4
2023-11-07,West,Toys,42.21,5
2023-04-29,North,Groceries,8.47,1
2023-01-29,East,Groceries,26.75,3
2023-07-05,South,Electronics,831.29,3
2023-07-25,Central,Toys,52.69,5
2024-06-17,East,Home & Garden,53.64,4
2023-04-09,East,Home & Garden,,3
2024-09-18,Central,Groceries,46.32,4
2024-04-06,west,Toys,26.54,3
2024-11-20,South,Home & Garden,113.33,2
2024-05-20,East,Clothing,112.89,4
2024-06-11,central,Home & Garden,204.77,4
2024-10-08,West,Electronics,716.98,1
2024-09-28,South,Home & Garden,27.09,4
2024-01-27,South,Home & Garden,63.49,2
2023-08-19,West,Groceries,38.14,4
2023-04-01,North,Electronics,496.44,5
2024-02-14,South,Clothing,56.42,5
2023-04-25,North,Electronics,339.64,5
2023-02-17,South,Groceries,55.45,4
2023-08-09,Central,Toys,14.45,1
2023-01-18,South,Electronics,778.59,2
2024-02-24,East,Home & Garden,72.18,2
2024-09-01,South,Toys,20.73,4
2024-12-01,West,Clothing,93.89,4
2024-12-08,Central,Toys,68.11,1
2024-06-22,West,Toys,68.78,5
2023-03-10,South,Groceries,58.98,4
2024-01-08,East,Toys,15.32,3
2024-04-28,East,Clothing,51.91,1
2023-08-02,East,Toys,63.7,5
2024-03-22,North,Toys,66.26,4
2024-06-23,Central,Electronics,861.65,1
2023-06-16,Central,Toys,31.64,4
2024-09-04,West,Home & Garden,32.31,4
2023-06-19,north,Groceries,13.31,5
2024-04-28,West,Toys,33.88,2
2024-05-26,East,Groceries,16.05,1
2024-05-25,West,Home & Garden,106.74,5
2024-12-07,east,Toys,58.76,1
2024-01-16,North,Groceries,6.82,1
2024-01-02,North,Electronics,266.98,5
2024-06-19,East,Clothing,58.41,5
2023-07-01,West,Toys,70.4,4
2023-03-07,East,Clothing,25.19,4
2024-08-07,Central,Toys,62.3,4
2024-12-04,South,Home & Garden,157.65,5
2024-11-08,South,Home & Garden,94.75,5
2024-05-31,Central,Groceries,58.33,5
2024-02-04,West,Electronics,829.97,4
2024-10-25,Central,Electronics,592.71,5
2023-02-09,south,Electronics,823.44,3
2023-12-27,East,Clothing,111.41,5
2024-04-27,central,Groceries,26.84,3
2024-04-17,North,Clothing,16.05,5
2023-08-18,North,Clothing,26.28,2
2023-07-20,Central,Electronics,355.52,2
2023-10-26,North,Toys,74.31,4
2023-07-09,North,Toys,64.19,3
2024-12-26,South,Electronics,1032.68,2
2024-01-02,East,Electronics,227.99,4
2024-03-01,South,Toys,43.46,5
2024-10-17,South,Electronics,511.05,2
2024-02-07,North,Home & Garden,269.27,5
2023-01-07,East,Groceries,24.15,1
2023-04-27,East,Groceries,44.78,5
2024-12-03,South,Toys,75.41,1
2023-02-27,North,Electronics,817.68,5
2024-05-02,Central,Toys,77.28,4
2023-04-10,Central,Home & Garden,287.64,2
2024-10-13,Central,Groceries,58.77,2
2024-02-27,North,Electronics,392.46,1
2024-10-31,Central,Groceries,16.68,5
2024-03-18,Central,Clothing,112.06,2
2024-05-04,South,Home & Garden,226.6,2
2024-01-28,West,Toys,33.51,1
2024-11-14,South,Electronics,374.72,1
2024-05-29,South,Electronics,341.18,1
2024-10-24,West,Electronics,488.84,4
2023-01-27,South,Electronics,487.85,5
2024-04-02,South,Groceries,43.33,4
2024-01-24,East,Toys,76.46,4
2024-07-20,north,Groceries,46.7,3
2023-05-22,West,Toys,60.38,2
2023-11-24,West,Clothing,56.14,5
2024-01-15,West,Home & Garden,184.57,1
2024-11-28,west,Toys,62.03,4
2023-02-02,West,Electronics,817.61,1
2024-06-03,North,Toys,56.4,2
2024-07-10,North,Clothing,23.56,2
2023-08-29,Central,Electronics,386.87,1
2023-03-11,North,Electronics,294.26,1
2023-01-04,West,Toys,77.87,2
2023-01-18,East,Toys,67.25,1
2024-12-15,North,Electronics,626.75,3
2023-01-21,East,Groceries,13.46,3
2024-12-21,West,Home & Garden,149.12,2
2023-06-27,Central,Toys,41.06,5
2023-01-19,West,Toys,54.32,3
2023-08-12,South,Home & Garden,211.37,4
2024-07-07,South,Groceries,48.06,3
2024-02-21,Central,Toys,37.1,1
2023-10-31,North,Toys,30.39,2
2024-09-22,West,Groceries,12.16,4
2024-04-09,East,Clothing,70.93,5
2024-12-29,North,Groceries,13.34,4
2023-04-23,north,Electronics,708.45,5
2023-11-03,East,Toys,74.1,3
2024-04-02,South,Home & Garden,225.38,5
2024-07-27,North,Clothing,55.4,4
2024-06-10,East,Clothing,46.55,5
2024-02-18,South,Groceries,43.53,3
2023-03-18,Central,Electronics,697.33,4
2024-07-24,South,Home & Garden,200.61,3
2023-01-20,Central,Home & Garden,238.97,2
2023-08-25,West,Groceries,26.42,5
2023-02-20,South,Clothing,76.87,1
2024-04-17,West,Electronics,814.67,5
2023-06-20,South,Electronics,739.96,5
2024-12-24,West,Electronics,1043.01,3
2023-12-29,West,Groceries,35.53,4
2023-08-06,south,Home & Garden,134.95,3
2023-12-05,South,Clothing,40.52,4
2023-08-28,South,Home & Garden,59.59,3
2024-11-13,East,Toys,24.04,1
2023-08-05,Central,Home & Garden,92.52,4
2024-02-28,Central,Groceries,35.73,4
2024-01-09,West,Toys,42.87,5
2023-08-30,East,Clothing,43.46,5
2024-08-18,East,Electronics,337.45,1
2023-05-05,Central,Groceries,21.97,4
2024-01-12,North,Toys,31.36,3
2024-06-25,West,Electronics,703.95,1
2024-10-09,South,Groceries,20.4,1
2024-09-01,East,Toys,25.27,2
2023-04-11,Central,Electronics,552.14,2
2023-02-14,East,Home & Garden,174.19,2
2023-01-25,North,Groceries,10.37,3
2024-11-09,North,Home & Garden,146.26,1
2023-05-14,south,Clothing,79.77,2
2023-11-14,south,Groceries,45.59,2
2024-02-01,Central,Clothing,,5
2023-03-18,East,Groceries,55.77,1
2024-07-01,East,Electronics,190.9,4
2024-04-30,East,Home & Garden,53.6,3
2024-10-24,South,Clothing,40.79,3
2024-01-23,West,Home & Garden,111.28,4
2023-07-02,North,Clothing,50.19,2
2023-03-21,South,Electronics,365.13,1
2023-07-03,West,Home & Garden,174.86,1
2023-11-10,North,Groceries,33.77,3
2024-11-14,North,Groceries,58.07,3
2023-01-10,North,Groceries,49.16,5
2023-07-20,South,Clothing,107.81,2
2024-07-13,Central,Electronics,612.51,4
2024-05-11,South,Groceries,15.6,5
2023-12-02,West,Clothing,48.95,1
2023-03-04,Central,Clothing,39.86,4
2023-06-14,East,Electronics,458.13,2
2024-02-26,Central,Groceries,54.45,4
2023-07-28,Central,Groceries,20.98,2
2023-09-04,Central,Toys,28.68,5
2024-10-19,Central,Home & Garden,52.04,2
2024-12-04,South,Groceries,30.68,5
2024-04-26,South,Electronics,775.23,5
2024-05-14,South,Toys,38.17,5
2023-01-01,South,Home & Garden,283.82,2
2024-03-31,South,Toys,77.88,4
2023-07-18,East,Toys,36.96,3
2024-03-04,North,Toys,45.56,4
2023-10-26,East,Groceries,15.56,3
2023-04-04,East,Toys,21.31,3
2024-05-15,East,Home & Garden,294.38,4
2023-09-01,west,Clothing,81.95,1
2024-10-02,Central,Toys,30.91,4
2024-02-15,North,Electronics,416.76,4
2023-08-22,West,Groceries,26.0,5
2023-10-23,South,Home & Garden,256.41,5
2023-04-13,East,Toys,18.19,5
2024-07-29,North,Home & Garden,128.05,3
2024-01-27,East,Groceries,49.68,2
2023-06-18,East,Home & Garden,198.84,5
2024-06-18,East,Toys,13.68,4
2024-05-01,Central,Electronics,323.23,1
2024-06-29,South,Home & Garden,278.3,3
2023-03-31,East,Home & Garden,220.03,3
2023-05-07,West,Electronics,377.06,2
2024-10-10,North,Home & Garden,209.82,4
2024-05-29,West,Home & Garden,264.38,3
2023-01-18,North,Electronics,483.31,2
2024-06-20,South,Electronics,714.76,2
2023-03-14,North,Home & Garden,129.06,1
2024-05-03,Central,Electronics,790.76,2
2024-03-26,West,Groceries,30.47,1
2024-12-16,South,Groceries,23.97,3
2024-05-30,West,Electronics,669.32,1
2024-12-30,North,Home & Garden,253.42,2
2024-11-18,East,Electronics,243.06,1
2024-10-27,North,Clothing,18.18,2
2024-08-25,North,Electronics,376.56,2
2024-05-06,North,Clothing,,3
2024-01-30,Central,Groceries,33.44,5
2023-11-03,South,Home & Garden,92.99,5
2023-06-16,North,Toys,39.88,4
2023-11-28,West,Electronics,750.3,1
2023-07-08,South,Toys,22.44,5
2023-12-21,South,Clothing,29.36,5
2023-01-26,West,Groceries,10.54,5
2024-01-30,North,Clothing,109.59,3
2023-02-21,West,Electronics,194.33,5
2023-06-21,Central,Toys,35.68,4
2023-11-03,West,Toys,54.2,5
2024-07-20,East,Electronics,184.07,2
2024-02-14,West,Groceries,42.53,3
2024-02-10,West,Groceries,41.31,3
2024-10-05,south,Groceries,47.59,5
2023-01-05,Central,Groceries,42.49,2
2023-01-21,North,Groceries,12.29,1
2024-06-22,North,Home & Garden,20.15,5
2023-11-03,North,Groceries,17.52,5
2024-11-03,East,Toys,60.92,4
2023-06-18,East,Groceries,32.42,4
2024-03-29,Central,Groceries,39.23,2
2024-01-29,Central,Home & Garden,240.56,5
2023-06-25,East,Electronics,796.24,5
2023-12-12,Central,Toys,48.69,2
2023-05-27,Central,Toys,20.15,5
2023-11-01,North,Groceries,7.83,1
2024-10-30,East,Electronics,437.62,5
2024-11-24,South,Toys,63.71,4
2024-04-28,north,Home & Garden,116.77,3
2023-04-25,West,Clothing,65.07,1
2023-10-08,West,Toys,25.25,2
2023-09-11,West,Groceries,56.7,3
2023-05-19,East,Home & Garden,132.39,1
2024-08-13,North,Toys,37.25,3
2023-06-07,East,Home & Garden,108.01,2
2023-04-23,South,Clothing,38.22,5
2023-12-13,West,Clothing,97.71,4
2024-04-03,North,Toys,50.56,4
2023-02-12,South,Clothing,19.21,3
2023-10-29,North,Clothing,25.3,1
2023-09-28,West,Home & Garden,148.42,1
2024-04-27,South,Toys,63.58,3
2024-07-01,North,Electronics,441.63,1
2023-01-05,East,Electronics,522.03,2
2023-06-07,South,Toys,38.39,4
2024-04-23,West,Groceries,6.36,5
2023-04-09,East,Clothing,90.14,1
2024-04-06,North,Groceries,38.06,3
2023-05-12,South,Home & Garden,272.2,3
2023-04-26,East,Home & Garden,229.52,4
2023-11-26,South,Home & Garden,158.67,4
2024-07-22,East,Home & Garden,25.25,3
2023-03-25,West,Toys,70.41,1
2023-06-05,East,Groceries,53.09,4
2024-11-27,East,Home & Garden,258.88,5
2024-04-28,North,Electronics,735.98,4
2024-01-17,South,Groceries,40.96,3
2023-06-22,East,Home & Garden,176.54,3
2024-01-22,Central,Toys,60.97,3
2023-09-26,West,Clothing,112.36,1
